FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
48019,365.2,19988,25,12.4,97.2,0.5,16.3,0.9,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3106,20,10,407,1102,852,0,18,8,-2222,1,1,1,1
05123,364.7,27902,44,25.2,48.2,50.5,5.2,0.3,0.7,35.6,78.1,32.4,-1111.1,25.8,11.8,6002,46.6,17.9,913,1712,1545,1,71,141,-2222,1,1,1,1
48219,364.6,22787,25,17.5,94.5,3.7,41.1,1,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1.1,4464,48.3,21.9,501,1154,1030,2,40,16,0,1,1,1,1
51143,364.5,61854,64,12.4,75.2,23.9,1.6,0.2,0.2,32,80.1,30.9,32.2,27.3,10.6,6732,9.7,9.7,1984,3586,2811,1,26,3,371642,1,1,1,1
56023,364.1,15999,4,9.5,98.1,0.1,2.6,0.6,0.3,18.9,72.7,21.2,23.7,16.1,4.4,2166,56.3,50,312,1123,765,47,10,2,659502,1,1,1,1
35017,364.1,29747,8,19.6,95.9,1.1,47.8,1.5,0.6,23.4,76.1,20.2,26.5,20.3,9,7021,104.2,23.5,766,1929,1803,2,27,20,4427803,1,1,1,1
35053,363.8,18148,3,25.1,83.7,1.1,46.6,12.4,1.8,27.8,77.8,19.8,27,25.4,10.4,5032,44.1,22,446,1137,1207,0,24,33,-2222,1,1,1,1
31027,363.7,9066,12,8.4,99.3,0.1,0.6,0.2,0,25.2,-1111.1,25.2,12.7,12.3,6.6,1132,33.1,22.1,139,541,348,11,7,0,360,1,1,1,1
46009,363.6,7087,13,13,95,0.9,0.6,3.9,0.1,27.9,73.8,22.3,31.4,16,6,689,56.4,56.4,130,418,260,4,11,17,20185,1,1,1,1
35027,363.6,21007,4,15.2,95.4,1.2,27.5,2.3,0.4,22.8,77.3,15.6,30.5,22.8,6.7,5098,61.9,28.6,481,1403,1252,2,26,6,-2222,1,1,1,1
05101,363.4,8452,10,19.9,98.2,0.2,1.2,0.5,0.2,26.5,-1111.1,29.2,-1111.1,30.1,5.8,1734,23.7,0,175,559,464,0,6,1,-2222,1,1,1,1
05057,363.3,23383,32,19,68.8,29.1,12,0.4,0.5,29.8,78.2,24.4,-1111.1,26.2,10.3,4943,42.8,29.9,605,1461,1313,0,50,13,998593,1,1,1,1
01037,363.2,11162,17,13.4,67.6,31.6,1.5,0.3,0.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,2028,9,9,231,645,517,0,4,5,25245,1,1,1,1
48189,363.1,36233,36,20.1,92,5.9,52,1.2,0.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.8,7678,33.1,19.3,923,1777,1597,2,51,9,2040131,1,1,1,1
48325,363.1,43027,32,16.2,95.3,2.7,46.7,0.8,0.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.1,7264,30.2,20.9,920,2242,1864,0,33,13,0,1,1,1,1
46033,363,7904,5,9.9,94.4,0.3,2.5,3.6,0.2,24,76.5,18.7,30.9,20.1,6.7,966,88.6,25.3,177,461,289,2,10,2,-2222,1,1,1,1
53043,362.7,10381,4,11.5,96.1,0.3,2.1,2.1,0.3,24.2,-1111.1,22,27.2,24.5,4.5,1496,48.2,48.2,284,649,682,3,10,2,0,1,1,1,1
28041,362.6,13183,18,19.8,73,26.5,0.8,0.3,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,14.8,1831,30.3,7.6,485,799,653,1,20,2,-2222,1,1,1,1
12027,362.2,35406,56,18.3,84.4,11.8,31.2,2.9,0.6,-1111.1,78.5,23.9,-1111.1,26,11.3,6924,39.5,5.6,622,1914,1975,0,36,23,12,1,1,1,1
08121,362.2,4633,2,10.8,98.9,0.1,7.5,0.7,0.1,-1111.1,-1111.1,11.4,-1111.1,-1111.1,-1111.1,935,0,21.6,110,336,352,2,1,1,-2222,1,1,1,1
53075,362,40170,19,15.8,87.4,2.1,3.4,0.7,7.6,13,75.5,15.8,15.6,14.7,4.3,5563,74.7,39.8,871,2546,3924,4,31,2,1,1,1,1,1
51153,361.9,348588,1032,6.1,70.1,19.4,17.4,0.5,6.7,21.9,71.8,23.5,24,20.6,7.3,35630,44.5,25.8,4766,18226,16294,12,134,38,657182,1,2,1,1
